teucriN: 125             (V: 125 L: 0)
creo: 104                (V: 5 L: 99)
for: 95                  (V: 94 L: 1)
aether: 86               (V: 52 L: 34)
sonitus: 73              (V: 32 L: 41)
aeternus: 68             (V: 20 L: 48)
genitor: 58              (V: 57 L: 1)
anchisesN: 48            (V: 48 L: 0)
rutuliN: 47              (V: 47 L: 0)
uapor: 47                (V: 3 L: 44)
propterea: 47            (V: 0 L: 47)
danaiN: 46               (V: 45 L: 1)
pallas2N: 42             (V: 42 L: 0)
ascaniusN: 41            (V: 41 L: 0)
retro1: 41               (V: 15 L: 26)
troianusA: 40            (V: 40 L: 0)
desero2: 38              (V: 31 L: 7)
compleo: 37              (V: 17 L: 20)
animans1: 37             (V: 0 L: 37)
succedo1: 36             (V: 25 L: 11)
latiniN: 35              (V: 35 L: 0)
coorior: 34              (V: 2 L: 32)
didoN: 34                (V: 34 L: 0)
infinitus: 34            (V: 0 L: 34)
aetherius: 33            (V: 19 L: 14)
dardaniusN: 33           (V: 33 L: 0)
nubila: 33               (V: 9 L: 24)
materies: 33             (V: 1 L: 32)
foras: 33                (V: 0 L: 33)
extemplo: 32             (V: 14 L: 18)
quies: 31                (V: 18 L: 13)
insinuo: 31              (V: 1 L: 30)
conicio: 31              (V: 20 L: 11)
partim: 31               (V: 4 L: 27)
furens: 29               (V: 28 L: 1)
effor: 29                (V: 28 L: 1)
tyrrhenusA: 28           (V: 28 L: 0)
coeo1: 28                (V: 11 L: 17)
troesN: 27               (V: 27 L: 0)
quapropter1: 27          (V: 0 L: 27)
diua: 26                 (V: 21 L: 5)
pietas: 25               (V: 22 L: 3)
olympus2N: 25            (V: 25 L: 0)
exorior: 25              (V: 8 L: 17)
tactus: 25               (V: 2 L: 23)
praeditus: 25            (V: 0 L: 25)
ductor: 24               (V: 23 L: 1)
almus: 24                (V: 18 L: 6)
stirps: 24               (V: 19 L: 5)
uolito: 24               (V: 13 L: 11)
armo: 23                 (V: 23 L: 0)
mnestheusN: 23           (V: 23 L: 0)
spons: 23                (V: 3 L: 20)
funditus: 23             (V: 3 L: 20)
proinde: 23              (V: 2 L: 21)
seorsum1: 23             (V: 0 L: 23)
omnipotens: 22           (V: 21 L: 1)
iussum: 22               (V: 22 L: 0)
troiusN: 22              (V: 22 L: 0)
latex: 22                (V: 7 L: 15)
aduerto: 22              (V: 17 L: 5)
fulgens: 22              (V: 17 L: 5)
messapusN: 22            (V: 22 L: 0)
coniunctus: 22           (V: 1 L: 21)
saturniusA: 21           (V: 21 L: 0)
achatesN: 21             (V: 21 L: 0)
arrigo: 21               (V: 21 L: 0)
dardanidesN: 21          (V: 21 L: 0)
concilium: 21            (V: 9 L: 12)
nisusN: 21               (V: 21 L: 0)
suppedito: 21            (V: 0 L: 21)
diffugio: 20             (V: 6 L: 14)
concresco: 20            (V: 4 L: 16)
thalamus: 20             (V: 20 L: 0)
ausoniusA: 20            (V: 20 L: 0)
percipio: 20             (V: 2 L: 18)
consimilis: 20           (V: 0 L: 20)
insequor: 19             (V: 14 L: 5)
expleo: 19               (V: 9 L: 10)
molior: 19               (V: 17 L: 2)
mezentiusN: 19           (V: 19 L: 0)
camillaN: 19             (V: 19 L: 0)
aeneadaeN: 18            (V: 18 L: 0)
potior: 18               (V: 12 L: 6)
subigo: 18               (V: 10 L: 8)
ales1: 18                (V: 11 L: 7)
pergamaN: 18             (V: 18 L: 0)
congredior: 18           (V: 13 L: 5)
exitium: 18              (V: 8 L: 10)
thybrisN: 18             (V: 18 L: 0)
perficio: 18             (V: 12 L: 6)
supra2: 18               (V: 9 L: 9)
uario: 18                (V: 2 L: 16)
quisque1: 18             (V: 3 L: 15)
italiN: 17               (V: 17 L: 0)
nympha: 17               (V: 17 L: 0)
infandus: 17             (V: 17 L: 0)
reuiso: 17               (V: 11 L: 6)
pabulum: 17              (V: 2 L: 15)
aerius: 17               (V: 9 L: 8)
mobilitas: 17            (V: 1 L: 16)
genitalis: 17            (V: 0 L: 17)
sursum: 17               (V: 0 L: 17)
foramen: 17              (V: 0 L: 17)
futurus: 16              (V: 12 L: 4)
gressus: 16              (V: 14 L: 2)
obstupesco: 16           (V: 16 L: 0)
at1: 16                  (V: 16 L: 0)
nouitas: 16              (V: 1 L: 15)
complector: 16           (V: 13 L: 3)
sero3: 16                (V: 15 L: 1)
repleo: 16               (V: 6 L: 10)
externus: 16             (V: 11 L: 5)
ineo1: 16                (V: 5 L: 11)
impes: 16                (V: 0 L: 16)
connubium: 15            (V: 14 L: 1)
mico: 15                 (V: 11 L: 4)
lacrimo: 15              (V: 13 L: 2)
glomero: 15              (V: 12 L: 3)
hymenaeos: 15            (V: 14 L: 1)
implico: 15              (V: 13 L: 2)
propinquo: 15            (V: 14 L: 1)
penna: 15                (V: 12 L: 3)
acheronN: 15             (V: 7 L: 8)
interuallum: 15          (V: 1 L: 14)
lectus3: 15              (V: 14 L: 1)
laususN: 15              (V: 15 L: 0)
distraho: 15             (V: 1 L: 14)
concieo: 15              (V: 7 L: 8)
confluo: 15              (V: 0 L: 15)
meo: 15                  (V: 0 L: 15)
liquor1: 15              (V: 0 L: 15)
ceruus: 14               (V: 7 L: 7)
alloquor: 14             (V: 14 L: 0)
dominor: 14              (V: 6 L: 8)
gradior: 14              (V: 10 L: 4)
tyriiN: 14               (V: 14 L: 0)
resido: 14               (V: 12 L: 2)
ostrum: 14               (V: 12 L: 2)
horror: 14               (V: 7 L: 7)
longaeuus: 14            (V: 14 L: 0)
concido1: 14             (V: 5 L: 9)
candens: 14              (V: 8 L: 6)
lucidus: 14              (V: 3 L: 11)
auius: 14                (V: 4 L: 10)
perpetuo2: 14            (V: 0 L: 14)
coruscus: 13             (V: 9 L: 4)
quietus: 13              (V: 8 L: 5)
libycusN: 13             (V: 13 L: 0)
erumpo: 13               (V: 4 L: 9)
pictus: 13               (V: 13 L: 0)
latebra: 13              (V: 8 L: 5)
contorqueo: 13           (V: 9 L: 4)
foedo: 13                (V: 11 L: 2)
fatalis: 13              (V: 12 L: 1)
aggredior: 13            (V: 9 L: 4)
nuntius1: 13             (V: 13 L: 0)
firmo: 13                (V: 9 L: 4)
palinurusN: 13           (V: 13 L: 0)
tartaraN: 13             (V: 10 L: 3)
exordium: 13             (V: 2 L: 11)
rigo: 13                 (V: 5 L: 8)
iuturnaN: 13             (V: 13 L: 0)
profundo2: 13            (V: 1 L: 12)
hilum: 13                (V: 0 L: 13)
reliquiae: 12            (V: 9 L: 3)
